B00, 19
B05, Blotteritem, {'type': 'Trade', 'time': 302.0916666664741, 'price': 231, 'party1': 'B05', 'party2': 'S82', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 323.3374999997881, 'price': 203, 'party1': 'B05', 'party2': 'S52', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 355.72916666642533, 'price': 196, 'party1': 'B05', 'party2': 'S15', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 373.41666666640924, 'price': 249, 'party1': 'B05', 'party2': 'S88', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 428.8208333330255, 'price': 203, 'party1': 'B05', 'party2': 'S59', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 452.00416666633777, 'price': 257, 'party1': 'B05', 'party2': 'S28', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 459.09999999966465, 'price': 234, 'party1': 'B05', 'party2': 'S79', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 508.40416666628647, 'price': 263, 'party1': 'B05', 'party2': 'S32', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 533.9124999998955, 'price': 203, 'party1': 'B05', 'party2': 'S29', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 552.8791666668037, 'price': 261, 'party1': 'B05', 'party2': 'S81', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 580.0291666671494, 'price': 183, 'party1': 'B05', 'party2': 'S52', 'qty': 1}
B06, 4
B06, Blotteritem, {'type': 'Trade', 'time': 508.21666666628664, 'price': 266, 'party1': 'B06', 'party2': 'S89', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 537.3958333332732, 'price': 202, 'party1': 'B06', 'party2': 'S64', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 555.6416666668389, 'price': 260, 'party1': 'S29', 'party2': 'B06', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 595.7291666673493, 'price': 206, 'party1': 'B06', 'party2': 'S78', 'qty': 1}
B07, 13
B07, Blotteritem, {'type': 'Trade', 'time': 56.500000000018, 'price': 190, 'party1': 'B07', 'party2': 'S93', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 180.2416666665849, 'price': 151, 'party1': 'B07', 'party2': 'S13', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 209.829166666558, 'price': 205, 'party1': 'B07', 'party2': 'S79', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 279.48333333316134, 'price': 142, 'party1': 'B07', 'party2': 'S20', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 312.84166666646433, 'price': 223, 'party1': 'B07', 'party2': 'S87', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 324.77083333312015, 'price': 200, 'party1': 'B07', 'party2': 'S95', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 355.3041666664257, 'price': 204, 'party1': 'S57', 'party2': 'B07', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 404.05833333304804, 'price': 195, 'party1': 'S38', 'party2': 'B07', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 437.05416666635136, 'price': 214, 'party1': 'S12', 'party2': 'B07', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 463.6374999996605, 'price': 222, 'party1': 'B07', 'party2': 'S22', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 489.11249999963735, 'price': 214, 'party1': 'S00', 'party2': 'B07', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 539.0583333332944, 'price': 158, 'party1': 'B07', 'party2': 'S11', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 579.470833333809, 'price': 206, 'party1': 'S73', 'party2': 'B07', 'qty': 1}
B08, 18
B08, Blotteritem, {'type': 'Trade', 'time': 19.695833333332537, 'price': 204, 'party1': 'B08', 'party2': 'S97', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 50.9333333333469, 'price': 207, 'party1': 'B08', 'party2': 'S80', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 121.26249999997188, 'price': 219, 'party1': 'B08', 'party2': 'S86', 'qty': 1}
